ID;imie;nazwisko;nr_tel;czy_wych;przedmiot;uzytkownik
001;EDWARD;MALINOWSKI;638747389;Y;matematyka;0001
002;J”ZEFA;BORKOWSKA;645017298;Y;biologia;0002
003;ALAN;LASKOWSKI;602399084;Y;j.angielski;0003
004;JANINA;BIELECKA;610942408;Y;historia;0004
005;FRANCISZEK;KWIATKOWSKI;654405895;Y;j.niemiecki;0005
006;MARCIN;CIEåLAK;613346788;Y;historia;0006
007;W£ODZIMIERZ;BEDNAREK;692581074;Y;wf;0007
008;GABRIELA;G”RECKA;693681372;Y;geografia;0008
009;ZENON;KOWALEWSKI;653830806;Y;fizyka;0009
010;KRZYSZTOF;OWCZAREK;636257697;Y;biologia;0010
011;MARCEL;WOJCIECHOWSKI;607972528;Y;wf;0011
012;WALDEMAR;BEDNARZ;680389778;Y;geografia;0012
013;WALDEMAR;KAèMIERCZAK;606026625;Y;fizyka;0013
014;KRYSTIAN;MICHALIK;647025902;Y;wf;0014
015;ZDZIS£AW;PAJ•K;658839102;Y;j.polski;0015
016;STANIS£AW;KR”L;611865314;Y;matematyka;0016
017;JACEK;KOSI—SKI;606565588;N;historia;0017
018;J”ZEF;PAWLAK;669483289;N;fizyka;0018
019;OLGA;OWCZAREK;606688208;N;j.angielski;0019
020;STEFAN;JAWORSKI;626965173;N;WOS;0020
021;MARIUSZ;KALINOWSKI;616988931;N;geografia;0021
022;ILONA;JAKUBOWSKA;636913092;N;historia;0022
023;ZUZANNA;DOMA—SKA;661853154;N;j.niemiecki;0023
024;IRENA;MUCHA;627187912;N;j.polski;0024
025;KAROL;MARSZA£EK;622093309;N;wf;0025
026;STEFAN;URBANIAK;684589254;N;chemia;0026
027;LEON;DOBROWOLSKI;691659131;N;matematyka;0027
028;W£ODZIMIERZ;JAB£O—SKI;608237408;N;j.niemiecki;0028
029;MONIKA;STANKIEWICZ;658812274;N;WOS;0029
030;HELENA;WILCZY—SKA;600789288;N;j.polski;0030
031;ARTUR;KWIATKOWSKI;683865133;N;chemia;0031
032;GERTRUDA;PRZYBYLSKA;629502735;N;historia;0032
033;MARIANNA;CZARNECKA;694107761;N;j.niemiecki;0033
034;DARIUSZ;RATAJCZAK;680697853;N;j.niemiecki;0034
035;KATARZYNA;NAWROCKA;611198417;N;geografia;0035
036;NATALIA;CIESIELSKA;694602303;N;chemia;0036
037;LECH;MAJCHRZAK;661551855;N;j.polski;0037
038;MICHALINA;ZAKRZEWSKA;665152397;N;WOS;0038
