ID;imie;nazwisko;nr_telefonu;powiazanie;uzytkownik
001;PIOTR;BEDNARCZYK;665681597;001;102
2;NIKOLA;BEDNARCZYK;642388396;001;103
003;BOGDAN;KARPI—SKA;624786629;002;105
4;MARTA;KARPI—SKA;617034121;002;106
005;KACPER;KUREK;602735441;003;108
6;MARIOLA;KUREK;637244081;003;109
007;HENRYK;ZALEWSKA;616617949;004;111
8;W£ADYS£AWA;ZALEWSKA;641733667;004;112
009;LESZEK;WOLSKI;642739340;005;114
10;MONIKA;WOLSKI;617265454;005;115
011;MAKSYMILIAN;BRZOZOWSKI;673371329;006;117
12;MAGDALENA;BRZOZOWSKI;624959635;006;118
013;JAROS£AW;MUCHA;607278097;007;120
14;TERESA;MUCHA;665925186;007;121
015;SEBASTIAN;ZIELI—SKI;644375257;008;123
16;EDYTA;ZIELI—SKI;656839196;008;124
017;ZYGMUNT;BIELECKI;637428509;009;126
18;LENA;BIELECKI;695607224;009;127
019;CZES£AW;KRUPA;615104051;010;129
20;WIKTORIA;KRUPA;629167752;010;130
021;KAMIL;KRAWCZYK;637541614;011;132
22;BARBARA;KRAWCZYK;639697714;011;133
023;MIECZYS£AW;SOBOLEWSKA;693779510;012;135
24;ANIELA;SOBOLEWSKA;648051907;012;136
025;STANIS£AW;KACZMAREK;603155374;013;138
26;WIES£AWA;KACZMAREK;629613164;013;139
027;EDMUND;MAJEWSKA;694602274;014;141
28;JOLANTA;MAJEWSKA;697171452;014;142
029;SEBASTIAN;KOWAL;635721818;015;144
30;PAULINA;KOWAL;606622466;015;145
031;BOGUS£AW;RUTKOWSKI;671779642;016;147
32;KATARZYNA;RUTKOWSKI;669601379;016;148
033;W£ODZIMIERZ;LASKOWSKI;603553575;017;150
34;GENOWEFA;LASKOWSKI;693974123;017;151
035;MAKSYMILIAN;KUCHARSKI;626897309;018;153
36;ANETA;KUCHARSKI;606224205;018;154
037;MARCIN;ZAWADZKI;694648670;019;156
38;ALINA;ZAWADZKI;601467652;019;157
039;MARCIN;MACIEJEWSKI;611658625;020;159
40;DANUTA;MACIEJEWSKI;640126710;020;160
041;OSKAR;MADEJ;618527262;021;162
42;AMELIA;MADEJ;690388546;021;163
043;FILIP;£UCZAK;649547051;022;165
44;EWELINA;£UCZAK;696038041;022;166
045;JANUSZ;KOT;606742156;023;168
46;LIDIA;KOT;628866240;023;169
047;JULIAN;SOCHA;623499570;024;171
48;JANINA;SOCHA;669644890;024;172
049;WIKTOR;£UCZAK;639466012;025;174
50;ANETA;£UCZAK;621611520;025;175
051;DAWID;SZYMA—SKI;659712699;026;177
52;OLGA;SZYMA—SKI;634134580;026;178
053;JAN;KANIA;674211828;027;180
54;MILENA;KANIA;621475879;027;181
055;ANTONI;PAWLAK;619894822;028;183
56;FRANCISZKA;PAWLAK;679997138;028;184
057;BOGDAN;DUDEK;676667588;029;186
58;DOMINIKA;DUDEK;664086586;029;187
059;CZES£AW;MAJCHRZAK;628663447;030;189
60;BOGUMI£A;MAJCHRZAK;633828608;030;190
061;FRANCISZEK;WRONA;611552488;031;192
62;KINGA;WRONA;678207742;031;193
063;WIKTOR;STEFA—SKI;650890647;032;195
64;STANIS£AWA;STEFA—SKI;686812583;032;196
065;MAKSYMILIAN;PAJ•K;679240937;033;198
66;MAJA;PAJ•K;653422419;033;199
067;DOMINIK;BUKOWSKA;645385560;034;201
68;LIDIA;BUKOWSKA;668534050;034;202
069;MACIEJ;DZIEDZIC;669330793;035;204
70;MILENA;DZIEDZIC;685587943;035;205
071;OLIWIER;KAèMIERCZAK;694719361;036;207
72;RENATA;KAèMIERCZAK;697499549;036;208
073;MAKSYMILIAN;MAREK;661737731;037;210
74;NIKOLA;MAREK;606176313;037;211
075;ZBIGNIEW;BIELECKI;616860623;038;213
76;MAJA;BIELECKI;659881321;038;214
077;ANDRZEJ;SAWICKA;671242474;039;216
78;J”ZEFA;SAWICKA;686054155;039;217
079;MIROS£AW;WIERZBICKI;668411236;040;219
80;MAJA;WIERZBICKI;648156876;040;220
081;JAN;SOCHA;697009623;041;222
82;SANDRA;SOCHA;657112668;041;223
083;KRZYSZTOF;W£ODARCZYK;665572995;042;225
84;ALICJA;W£ODARCZYK;638393221;042;226
085;W£ODZIMIERZ;MUSIA£;696973482;043;228
86;ROZALIA;MUSIA£;693912175;043;229
087;SEBASTIAN;MILEWSKI;626279591;044;231
88;CZES£AWA;MILEWSKI;642926300;044;232
089;KACPER;åWI•TEK;665207433;045;234
90;JADWIGA;åWI•TEK;617954095;045;235
091;ZENON;KO£ODZIEJCZYK;672283293;046;237
92;ALICJA;KO£ODZIEJCZYK;616006247;046;238
093;W£ODZIMIERZ;KO£ODZIEJCZYK;682272831;047;240
94;MONIKA;KO£ODZIEJCZYK;631979098;047;241
095;ROBERT;WILCZY—SKI;689504664;048;243
96;DOMINIKA;WILCZY—SKI;642056743;048;244
097;HUBERT;CIESIELSKI;600155833;049;246
98;MIROS£AWA;CIESIELSKI;694882489;049;247
099;JANUSZ;SZULC;631664994;050;249
100;MARIOLA;SZULC;626964236;050;250
101;PIOTR;DZIEDZIC;668122434;051;252
102;EMILIA;DZIEDZIC;616355149;051;253
103;OSKAR;G”RECKI;614019097;052;255
104;STANIS£AWA;G”RECKI;646141431;052;256
105;BART£OMIEJ;KUBIAK;672975523;053;258
106;MARLENA;KUBIAK;635225503;053;259
107;JAKUB;KWIATKOWSKI;649644163;054;261
108;KLAUDIA;KWIATKOWSKI;625113189;054;262
109;KACPER;MARKIEWICZ;675053079;055;264
110;FRANCISZKA;MARKIEWICZ;631124106;055;265
111;NORBERT;MUCHA;653952077;056;267
