ID;pesel;imie;nazwisko;adres;klasa;powiazanie;uzytkownik
001;21777011455;KAMIL;BEDNARCZYK;przykladowyadres;06;001;101
002;38060270084;ALEKSANDRA;KARPI—SKA;przykladowyadres;09;002;104
003;12151643877;EDMUND;KUREK;przykladowyadres;02;003;107
004;47223020589;ANETA;ZALEWSKA;przykladowyadres;11;004;110
005;67324801682;WALDEMAR;WOLSKI;przykladowyadres;13;005;113
006;54418709363;JULIAN;BRZOZOWSKI;przykladowyadres;15;006;116
007;76298897936;MARLENA;MUCHA;przykladowyadres;02;007;119
008;40272269288;TOMASZ;ZIELI—SKI;przykladowyadres;09;008;122
009;58841294866;DANIEL;BIELECKI;przykladowyadres;14;009;125
010;67951421238;RADOS£AW;KRUPA;przykladowyadres;10;010;128
011;93833846250;MICHALINA;KRAWCZYK;przykladowyadres;08;011;131
012;47296158859;PATRYCJA;SOBOLEWSKA;przykladowyadres;06;012;134
013;19887745059;JERZY;KACZMAREK;przykladowyadres;10;013;137
014;50559234454;IRENA;MAJEWSKA;przykladowyadres;10;014;140
015;10877140143;MARCIN;KOWAL;przykladowyadres;15;015;143
016;84883321842;ADRIAN;RUTKOWSKI;przykladowyadres;15;016;146
017;34599238855;KAROL;LASKOWSKI;przykladowyadres;08;017;149
018;19809557107;BOLES£AW;KUCHARSKI;przykladowyadres;09;018;152
019;58159502263;BOGUS£AW;ZAWADZKI;przykladowyadres;01;019;155
020;77499492349;DAWID;MACIEJEWSKI;przykladowyadres;08;020;158
021;45533191354;EUGENIUSZ;MADEJ;przykladowyadres;02;021;161
022;71656666035;MARIANNA;£UCZAK;przykladowyadres;09;022;164
023;29951089180;WOJCIECH;KOT;przykladowyadres;12;023;167
024;89199771373;MONIKA;SOCHA;przykladowyadres;15;024;170
025;54135485621;GENOWEFA;£UCZAK;przykladowyadres;14;025;173
026;29426018292;LUDWIK;SZYMA—SKI;przykladowyadres;07;026;176
027;76619972669;GENOWEFA;KANIA;przykladowyadres;04;027;179
028;76595204848;BRONIS£AWA;PAWLAK;przykladowyadres;02;028;182
029;32975339075;MILENA;DUDEK;przykladowyadres;11;029;185
030;55141999569;DANIEL;MAJCHRZAK;przykladowyadres;02;030;188
031;77084144087;BOGUS£AWA;WRONA;przykladowyadres;15;031;191
032;21582799279;£UKASZ;STEFA—SKI;przykladowyadres;12;032;194
033;78667050578;HENRYK;PAJ•K;przykladowyadres;13;033;197
034;33832103677;MAGDALENA;BUKOWSKA;przykladowyadres;09;034;200
035;19020434572;MARLENA;DZIEDZIC;przykladowyadres;01;035;203
036;99663691754;JOANNA;KAèMIERCZAK;przykladowyadres;07;036;206
037;21271394637;BART£OMIEJ;MAREK;przykladowyadres;08;037;209
038;95204367859;FILIP;BIELECKI;przykladowyadres;08;038;212
039;14383013662;WIES£AWA;SAWICKA;przykladowyadres;16;039;215
040;33133340732;JAN;WIERZBICKI;przykladowyadres;16;040;218
041;77149776301;JULIAN;SOCHA;przykladowyadres;06;041;221
042;78481077555;AGNIESZKA;W£ODARCZYK;przykladowyadres;05;042;224
043;61144332431;EUGENIA;MUSIA£;przykladowyadres;08;043;227
044;75208023111;MIROS£AW;MILEWSKI;przykladowyadres;09;044;230
045;71734135186;BOGUMI£A;åWI•TEK;przykladowyadres;03;045;233
046;41563501175;NORBERT;KO£ODZIEJCZYK;przykladowyadres;05;046;236
047;35888681610;ANETA;KO£ODZIEJCZYK;przykladowyadres;04;047;239
048;69597430512;£UKASZ;WILCZY—SKI;przykladowyadres;02;048;242
049;33998503073;KRZYSZTOF;CIESIELSKI;przykladowyadres;15;049;245
050;24351452817;WALDEMAR;SZULC;przykladowyadres;09;050;248
051;59437211488;IGOR;DZIEDZIC;przykladowyadres;02;051;251
052;56494333690;W£ODZIMIERZ;G”RECKI;przykladowyadres;10;052;254
053;25254629154;DOMINIK;KUBIAK;przykladowyadres;01;053;257
054;41809689498;PRZEMYS£AW;KWIATKOWSKI;przykladowyadres;16;054;260
055;60453954520;JANINA;MARKIEWICZ;przykladowyadres;16;055;263
056;38210926028;DOMINIK;MUCHA;przykladowyadres;06;056;266
057;50694408855;WITOLD;LASKOWSKI;przykladowyadres;14;057;269
058;53600860364;DANUTA;URBANIAK;przykladowyadres;02;058;272
059;83364486263;AMELIA;KUROWSKA;przykladowyadres;03;059;275
060;55797599931;ZDZIS£AW;KOWALEWSKI;przykladowyadres;05;060;278
061;27296222588;JUSTYNA;PIASECKA;przykladowyadres;12;061;281
062;33034254898;OSKAR;STEFA—SKI;przykladowyadres;03;062;284
063;67133743597;WALDEMAR;BUKOWSKI;przykladowyadres;06;063;287
064;78749273752;FRANCISZEK;SOCHA;przykladowyadres;12;064;290
065;48799637204;AGNIESZKA;MAZUR;przykladowyadres;02;065;293
066;26982708802;PIOTR;PIASECKI;przykladowyadres;11;066;296
067;61033887710;REGINA;KOZ£OWSKA;przykladowyadres;16;067;299
068;82593477877;KAROL;JANKOWSKI;przykladowyadres;15;068;302
069;63198584461;S£AWOMIR;MAZURKIEWICZ;przykladowyadres;09;069;305
070;95398947142;IRENEUSZ;MADEJ;przykladowyadres;07;070;308
071;38641617398;HUBERT;KRUK;przykladowyadres;14;071;311
072;47696688946;IZABELA;KRAJEWSKA;przykladowyadres;12;072;314
073;38473590563;OLGA;BARANOWSKA;przykladowyadres;14;073;317
074;88669449102;EMILIA;MAJCHRZAK;przykladowyadres;13;074;320
075;20986316599;CZES£AWA;åWI•TEK;przykladowyadres;02;075;323
076;66445948083;MARTA;SZCZEPANIAK;przykladowyadres;03;076;326
077;91052241269;PATRYK;DUDEK;przykladowyadres;08;077;329
078;83437509387;J”ZEFA;TOMCZYK;przykladowyadres;05;078;332
079;17694000909;ZBIGNIEW;CIESIELSKI;przykladowyadres;02;079;335
080;15112986217;MARTA;WIåNIEWSKA;przykladowyadres;13;080;338
081;90141881733;NIKOLA;PIETRZAK;przykladowyadres;09;081;341
082;46296775726;LIDIA;MARCINIAK;przykladowyadres;07;082;344
083;17736147674;JADWIGA;PIETRZAK;przykladowyadres;16;083;347
084;76411057425;WITOLD;SOCHA;przykladowyadres;14;084;350
085;26694094138;ZUZANNA;KANIA;przykladowyadres;11;085;353
086;91288872983;MARTA;BORKOWSKA;przykladowyadres;08;086;356
087;63533158643;SANDRA;CHMIELEWSKA;przykladowyadres;08;087;359
088;17032843412;ZENON;W”JTOWICZ;przykladowyadres;15;088;362
089;63938204429;ARTUR;KUREK;przykladowyadres;15;089;365
090;15769356625;CZES£AWA;CIESIELSKA;przykladowyadres;06;090;368
091;47811800653;TADEUSZ;PIETRZAK;przykladowyadres;04;091;371
092;61540717879;SYLWIA;WESO£OWSKA;przykladowyadres;06;092;374
093;41993924576;MAJA;KOZ£OWSKA;przykladowyadres;12;093;377
094;98739776711;MAGDALENA;SOBCZYK;przykladowyadres;14;094;380
095;81261885079;RADOS£AW;MADEJ;przykladowyadres;03;095;383
096;12024067602;IZABELA;SKIBA;przykladowyadres;03;096;386
097;32457837975;NATALIA;BARA—SKA;przykladowyadres;14;097;389
098;83718066059;ANTONI;£UCZAK;przykladowyadres;06;098;392
099;37697646262;WALDEMAR;MUCHA;przykladowyadres;07;099;395
100;43425465114;DAWID;B£ASZCZYK;przykladowyadres;01;100;398
101;39074263644;BRONIS£AWA;MARCINIAK;przykladowyadres;16;101;401
102;86596650744;WOJCIECH;JASI—SKI;przykladowyadres;02;102;404
103;96474028523;ALAN;MIKO£AJCZYK;przykladowyadres;14;103;407
104;32218173657;EWA;åLIWI—SKA;przykladowyadres;03;104;410
105;69151346482;W£ADYS£AWA;SIKORA;przykladowyadres;07;105;413
106;98656548179;DAMIAN;KARPI—SKI;przykladowyadres;16;106;416
107;24931320515;PAULINA;NOWAK;przykladowyadres;04;107;419
108;52018409938;ZYGMUNT;G£OWACKI;przykladowyadres;07;108;422
109;71176601255;TADEUSZ;MADEJ;przykladowyadres;04;109;425
110;41380105681;FILIP;NOWAKOWSKI;przykladowyadres;15;110;428
111;53531106067;JAN;KONIECZNY;przykladowyadres;10;111;431
112;11000542600;MAJA;SZEWCZYK;przykladowyadres;08;112;434
113;53296693884;JOLANTA;SKIBA;przykladowyadres;09;113;437
114;52321428561;J”ZEF;W£ODARCZYK;przykladowyadres;01;114;440
115;15209497361;IZABELA;SOKO£OWSKA;przykladowyadres;03;115;443
116;99533132504;TERESA;KOWALSKA;przykladowyadres;05;116;446
117;48285645270;ANGELIKA;W£ODARCZYK;przykladowyadres;11;117;449
118;66228500412;ANNA;NOWICKA;przykladowyadres;09;118;452
119;55977127234;GABRIELA;K DZIERSKA;przykladowyadres;07;119;455
120;94064449790;WIES£AWA;KRAWCZYK;przykladowyadres;03;120;458
